(재)지정일자,업소명,소재지(도로명),위도,경도,소재지전화번호,음식의유형,주된음식,면적(m2),입식좌식여부,휠체어이용가능여부,휠체어예약가능여부,데이터기준일
2024-10-25,(주)원일유통 춘천(상)휴게소,강원특별자치도 춘천시 동내면 영서로 1432,37.812785,127.766134,033-264-0500,한식,"순두부찌개, 닭갈비",420.63,입식,가능,가능,2025-05-01
2024-10-25,(주)춘천장어마을,강원특별자치도 춘천시 구마니1길 36-11,37.86878,127.703933,033-253-4077,한식,장어요리전문,344,입식,불가,불가,2025-05-01
2024-10-25,9우미닭갈비만천점,"강원특별자치도 춘천시 동면 만천로143번길 46-4, 1층",37.879921,127.761854,033-255-8422,한식,"닭갈비,막국수",173.31,둘다,가능,가능,2025-05-01
2024-10-25,감미옥설렁탕,"강원특별자치도 춘천시 춘천로 217, 1층 (효자동)",37.878024,127.737863,033-256-3808,한식,설렁탕,317.83,입식,가능,가능,2025-05-01
2024-10-25,강원한우타운,"강원특별자치도 춘천시 지석로 11, 별관동 3층 (퇴계동)",37.853533,127.737494,033-261-9253,한식,한우전문점,780.42,좌식,가능,가능,2025-05-01
2024-10-25,강촌막국수,강원특별자치도 춘천시 남산면 강촌로 62-1,37.813242,127.63359,033-262-9868,한식,"막국수,편육",35.61,둘다,가능,가능,2025-05-01
2024-10-25,고미고미,"강원특별자치도 춘천시 근화길 15번길 17, 1층(근화동)",37.872759,127.717262,033-256-1562,한식,생선구이,71.04,입식,가능,가능,2025-05-01
2024-10-25,거두정춘천거두리본점,강원특별자치도 춘천시 동내면 춘천순환로 114,37.856132,127.756498,033-263-9291,한식,"삼겹살, 목살",128.7,입식,가능,가능,2025-05-01
2024-10-25,곰배령,"강원특별자치도 춘천시 춘천로 19, 1층 (온의동)",37.866831,127.721172,033-255-5500,한식,한정식,224.21,둘다,불가,불가,2025-05-01
2024-10-25,공지천왕갈비,강원특별자치도 춘천시 효자로 5 (퇴계동),37.865436,127.725848,033-251-0791,한식,갈비,217.52,좌식,불가,불가,2025-05-01
2024-10-25,구울래머글래,강원특별자치도 춘천시 대양당길9번길 15(후평동),37.876814,127.753736,033-242-3133,한식,"생삼겹살, 생갈매기살",123.04,입식,불가,불가,2025-05-01
2024-10-25,귀품찬곽만근숯불갈비(춘천점),강원특별자치도 춘천시 동내면 춘천순환로 65,37.855977,127.751191,033-263-9299,한식,숯불갈비,340.48,입식,불가,불가,2025-05-01
2024-10-25,그랑셰프(클럽하우스),강원특별자치도 춘천시 남산면 북한강변길 688,37.830134,127.578819,033-260-2760,한식,"유황오리백숙,우거지해장국",607.81,입식,가능,가능,2025-05-01
2024-10-25,금병산숯불철판닭갈비,강원특별자치도 춘천시 신동면 금병의숙길 6 (1리),37.81643,127.714852,033-262-4220,한식,"닭갈비,막국수",162.6,둘다,불가,불가,2025-05-01
2024-10-25,금옥,"강원특별자치도 춘천시 동면 금옥길 289-27, 1층",37.92285,127.806204,033-241-1791,한식,"막국수, 돼지곰탕",145.04,입식,가능,가능,2025-05-01
2024-10-25,꼬꼬메이플가든,"강원특별자치도 춘천시 동내면 동내로 195, 1,2층",37.850318,127.773346,033-261-2828,한식,"닭갈비, 막국수",627.84,입식,가능,가능,2025-05-01
2024-10-25,나능이능이버섯백숙만천점,강원특별자치도 춘천시 동면 만천로 94,37.880962,127.764147,033-257-9511,한식,"오리, 닭백숙",268.85,둘다,가능,가능,2025-05-01
2024-10-25,나능이능이버섯백숙춘천점,"강원특별자치도 춘천시 우묵길78번길 7, 1층 (퇴계동, 좌측)",37.867505,127.724533,033-241-4411,한식,능이버섯백숙,303.12,둘다,가능,가능,2025-05-01
2024-10-25,남춘천명물닭갈비,강원특별자치도 춘천시 충혼길5번길 3 (퇴계동),37.863349,127.723583,033-254-9922,한식,닭갈비,104.75,입식,불가,불가,2025-05-01
2024-10-25,누보,"강원특별자치도 춘천시 퇴계로 13, 3층 (퇴계동)",37.866584,127.723594,033-261-7570,일식,회코스,261.19,좌식,가능,가능,2025-05-01
2024-10-25,대룡산닭갈비막국수,"강원특별자치도 춘천시 동내면 동내로 180, 1층",37.8494671,127.7716968,033-261-1421,한식,"막국수,닭갈비",401.71,입식,가능,가능,2025-05-01
2024-10-25,대웅닭갈비막국수,강원특별자치도 춘천시 동면 금옥길 5,37.916777,127.78272,033-241-2017,한식,닭갈비,79.94,좌식,불가,불가,2025-05-01
2024-10-25,더기운,강원특별자치도 춘천시 동내면 거두길 18,37.860422,127.761518,033-256-0592,한식,장어,143.82,입식,가능,가능,2025-05-01
2024-10-25,더클래식,강원특별자치도 춘천시 동내면 공지로 76,37.854112,127.751038,033-254-1900,한식,뷔페,688.9,좌식,가능,가능,2025-05-01
2024-10-25,델모니코스,"강원특별자치도 춘천시 동면 순환대로 1154-106, 1~2층",37.892304,127.777277,033-252-0999,양식,경양식전문점,366.99,입식,가능,가능,2025-05-01
2024-10-25,돈까스와 뼈다귀,강원특별자치도 춘천시 충열로 282 (우두동),37.918106,127.73986,033-251-5709,한식,"돈까스,뼈다귀해장국",659.04,좌식,불가,불가,2025-05-01
2024-10-25,동경,"강원특별자치도 춘천시 공지로 149, 3층 (석사동, 동진빌딩)",37.859001,127.745237,033-261-7555,일식,회정식,233.1,좌식,불가,불가,2025-05-01
2024-10-25,동광한우프라자,강원특별자치도 춘천시 춘천로170번길 5 (운교동),37.875986,127.73338,033-262-3357,한식,"등심,갈비탕",255.58,좌식,불가,불가,2025-05-01
2024-10-25,동해막국수퇴계점,강원특별자치도 춘천시 퇴계로 23 (퇴계동),37.866091,127.724721,033-253-9259,한식,"막국수, 족발",248,둘다,가능,가능,2025-05-01
2024-10-25,돼지한마리(후평점),"강원특별자치도 춘천시 후석로326번길 12, 2층 (후평동)",37.880394,127.750848,033-257-3895,한식,"돼지갈비, 삼겹살",192.15,좌식,불가,불가,2025-05-01
2024-10-25,등촌 샤브 칼국수,"강원특별자치도 춘천시 금강로 32-1 (소양로3가, 169-2,180-1,180-2)",37.881015,127.725813,033-254-2594,한식,샤브칼국수,158.02,입식,불가,불가,2025-05-01
2024-10-25,뚜레,"강원특별자치도 춘천시 동내면 순환대로 643, 가동 1,2층",37.880636,127.725838,033-262-8838,한식,"등심,정육",818,입식,가능,가능,2025-05-01
2024-10-25,마을회관,강원특별자치도 춘천시 후석로 344번길 3,37.881589,127.748945,033-242-8891,한식,"모듬회, 광어회",89.14,입식,불가,불가,2025-05-01
2024-10-25,만강,강원특별자치도 춘천시 동내면 외솔길19번길 61,37.857934,127.756526,033-262-5900,일식,"정식,생선회",187.4,좌식,불가,불가,2025-05-01
2024-10-25,메바우명가춘천막국수,"강원특별자치도 춘천시 당간지주길 76, 1층 (근화동)",37.892246,127.723873,033-254-2232,한식,"막국수, 편육",97.75,둘다,불가,불가,2025-05-01
2024-10-25,명가막국수,강원특별자치도 춘천시 신북읍 상천3길 8,37.932932,127.792103,033-241-8443,한식,막국수,147.62,둘다,가능,가능,2025-05-01
2024-10-25,명동명물닭갈비,"강원특별자치도 춘천시 금강로62번길 8, 1층 (조양동)",37.879515,127.727865,033-257-2961,한식,닭갈비,149.46,둘다,불가,불가,2025-05-01
2024-10-25,명동산골닭갈비,강원특별자치도 춘천시 금강로62번길 7,37.879371,127.727945,033-257-9775,한식,닭갈비,277.8,둘다,가능,가능,2025-05-01
2024-10-25,명동일번지닭갈비,"강원특별자치도 춘천시 금강로62번길 7 (조양동, 외8필지)",37.879371,127.727945,033-254-7042,한식,"닭갈비,막국수",386.08,둘다,가능,가능,2025-05-01
2024-10-25,별당막국수,"강원특별자치도 춘천시 춘천로81번길 15, 1층 (약사동)",37.872082,127.724289,033-254-9603,한식,"막국수,편육",266.14,둘다,가능,가능,2025-05-01
2024-10-25,보영이네해물칼국수만천리점,강원특별자치도 춘천시 만천로145,37.882447,127.758537,033-257-0883,한식,칼국수,89.67,좌식,불가,불가,2025-05-01
2024-10-25,본관남부막국수,"강원특별자치도 춘천시 춘천로81번길 16, 1,2층 (약사동)",37.872298,127.724357,033-254-7859,한식,"막국수,편육,빈대떡",260.42,둘다,가능,가능,2025-05-01
2024-10-25,봄담은산채,"강원특별자치도 춘천시 선들길 38, 1층(삼천동)",37.866038,127.725266,033-252-5313,한식,한정식,282.28,입식,가능,가능,2025-05-01
2024-10-25,봉운장,강원특별자치도 춘천시 소양고개길 26 (소양로3가),37.883573,127.725565,033-254-3203,한식,"갈비,갈비탕",435.12,입식,가능,가능,2025-05-01
2024-10-25,부안막국수,강원특별자치도 춘천시 후석로344번길 7 (후평동),37.881797,127.749456,033-254-0654,한식,막국수,228.83,둘다,불가,불가,2025-05-01
2024-10-25,부안옥,"강원특별자치도 춘천시 보안길 58, 1층 (후평동)",37.879809,127.751123,033-256-5252,한식,"소갈비살, 삼겹살",264.37,둘다,불가,불가,2025-05-01
2024-10-25,비와별닭갈비본점,"강원특별자치도 춘천시 스무숲길 5 (석사동, 1,2층)",37.849846,127.749041,033-262-8899,한식,닭갈비,425.94,입식,불가,불가,2025-05-01
2024-10-25,샘밭막국수,강원특별자치도 춘천시 신북읍 신샘밭로 644,37.929515,127.781203,033-242-1712,한식,막국수,278.54,둘다,가능,가능,2025-05-01
2024-10-25,샘토숯불닭갈비남춘천역점,강원특별자치도 춘천시 우묵길52번길 10 (퇴계동),37.864934,127.72294,033-255-5211,한식,숯불닭갈비,234.2,좌식,가능,가능,2025-05-01
2024-10-25,샤브향,강원특별자치도 춘천시 동내면 외솔길19번길 64-8,37.857232,127.756858,033-263-2555,한식,"월남쌈,소고기샤브",224.74,둘다,가능,가능,2025-05-01
2024-10-25,샤브향(퇴계점),"강원특별자치도 춘천시 우묵들길 35-6, 1층 (퇴계동)",37.867615,127.725079,033-252-2868,한식,샤브샤브,329.99,둘다,가능,가능,2025-05-01
2024-10-25,성우닭갈비,강원특별자치도 춘천시 동내면 춘천순환로 110,37.856095,127.756066,033-244-5579,한식,닭갈비,271.55,둘다,가능,가능,2025-05-01
2024-10-25,소담송하앤드더나인피크,"강원특별자치도 춘천시 동면 춘천순환로 868, 1~2층",37.891979,127.749479,033-257-1005,한식,돼지갈비,366.35,입식,불가,불가,2025-05-01
2024-10-25,소양강양어장,강원특별자치도 춘천시 동면 소양강로 675 (외1필지),37.925056,127.781842,033-242-1002,한식,송어.산천어,488.35,둘다,가능,가능,2025-05-01
2024-10-25,순대박사,강원특별자치도 춘천시 영서로 2502(근화동),37.881193,127.713774,033-244-6660,한식,사골순대국밥,194,입식,불가,불가,2025-05-01
2024-10-25,시골막국수,강원특별자치도 춘천시 신북읍 율문길 100,37.924702,127.748686,033-242-6833,한식,막국수,168.02,입식,가능,가능,2025-05-01
2024-10-25,아보카도,"강원특별자치도 춘천시 약사고개길50번길 25, 2층 (약사동)",37.872936,127.725205,033-242-8188,양식,"스테이크, 샐러드",102.84,입식,불가,불가,2025-05-01
2024-10-25,연산골막국수,강원특별자치도 춘천시 동면 연산골길 105-12,37.897491,127.790258,033-241-7025,한식,"막국수, 수육",294.75,입식,가능,가능,2025-05-01
2024-10-25,오부자닭갈비막국수,강원특별자치도 춘천시 안마산로 22 (온의동),37.858409,127.718749,033-252-2311,한식,"닭갈비,막국수",259.88,둘다,가능,가능,2025-05-01
2024-10-25,오수물막국수,강원특별자치도 춘천시 신북읍 맥국2길 15,37.938022,127.777242,033-242-4714,한식,"막국수,보쌈",383.49,둘다,가능,가능,2025-05-01
2024-10-25,우성닭갈비본점,강원특별자치도 춘천시 동면 만천양지길 87,37.887331,127.763501,033-242-3833,한식,닭갈비,493.92,입식,가능,가능,2025-05-01
2024-10-25,원조갈비탕,"강원특별자치도 춘천시 시청길 32, 1층 110호 (조양동)",37.881045,127.731134,033-241-8882,한식,갈비탕,106.36,입식,가능,가능,2025-05-01
2024-10-25,원주토정추어탕,강원특별자치도 춘천시 신동면 김유정로 1746,37.842924,127.731783,033-256-9888,한식,추어탕,195.94,둘다,가능,가능,2025-05-01
2024-10-25,유미닭갈비,강원특별자치도 춘천시 금강로62번길 12 (조양동),37.879216,127.727434,033-252-4986,한식,닭갈비,171.8,둘다,불가,불가,2025-05-01
2024-10-25,유포리막국수,강원특별자치도 춘천시 신북읍 맥국2길 123 (외2필지),37.946079,127.77831,033-242-5168,한식,막국수,284.66,둘다,가능,가능,2025-05-01
2024-10-25,육쌈냉면(춘천명동점),강원특별자치도 춘천시 명동길 9 (조양동),37.879505,127.727604,033-254-4198,한식,냉면,131.03,입식,불가,불가,2025-05-01
2024-10-25,은담숯불닭갈비,"강원특별자치도 춘천시 남산면 한치로 62, 1층",37.7923808,127.6447613,033-262-0209,한식,"숯불양념삽겹살,숯불닭갈비",204,둘다,가능,가능,2025-05-01
2024-10-25,이비가짬뽕춘천점,"강원특별자치도 춘천시 영서로 2652, 2층 (근화동)",37.892567,127.722508,033-242-9888,중식,"짬뽕,탕수육",324.57,둘다,가능,가능,2025-05-01
2024-10-25,일점오닭갈비,강원특별자치도 춘천시 후만로 77 (후평동),37.876353,127.753135,033-253-8635,한식,닭갈비,166.01,둘다,불가,불가,2025-05-01
2024-10-25,임가네,강원특별자치도 춘천시 새롬공원길 25(석사동),37.854401,127.747071,033-262-5245,한식,"고기말이, 등심",78.7,입식,불가,불가,2025-05-01
2024-10-25,장호더그릴,"강원특별자치도 춘천시 신북읍 신샘밭로 682, 1~2층",37.929424,127.785344,033-243-9293,한식,닭갈비,469.55,입식,가능,가능,2025-05-01
2024-10-25,정자나루,강원특별자치도 춘천시 남산면 한치로 120,37.787675,127.647204,033-264-7002,한식,"오리백숙,닭백숙",225.39,입식,가능,가능,2025-05-01
2024-10-25,정족리동치미막국수,"강원특별자치도 춘천시 신동면 김유정로 1772, 1층",37.845457,127.732478,0507-1339-1189,한식,"동치미막국수, 편육",222.59,입식,가능,가능,2025-05-01
2024-10-25,조약돌숯불닭갈비,"강원특별자치도 춘천시 낙원길 43 (낙원동, 1층)",37.880034,127.726431,033-264-0858,한식,닭갈비,97.2,좌식,불가,불가,2025-05-01
2024-10-25,중화루,"강원특별자치도 춘천시 둥지길 5-17, 2,3층 (효자동)",37.875541,127.735769,033-254-2591,중식,"탕수육, 자장면",338.24,입식,가능,가능,2025-05-01
2024-10-25,춘천명종닭갈비&교동면옥,"강원특별자치도 춘천시 동면 도일길 56, 1,2층",37.884541,127.765147,033-241-0599,한식,닭갈비,820.75,입식,가능,가능,2025-05-01
2024-10-25,춘천사랑닭갈비,강원특별자치도 춘천시 낙원길 47-1 (낙원동),37.880368,127.726623,033-256-9211,한식,"닭갈비,막국수",144.37,좌식,가능,가능,2025-05-01
2024-10-25,춘천산닭산속에닭갈비,"강원특별자치도 춘천시 옛경춘로 562-20, 가,나동 1층 (온의동)",37.851533,127.714206,033-242-8895,한식,닭갈비,757.5,둘다,가능,가능,2025-05-01
2024-10-25,춘천원조숯불닭갈비,강원특별자치도 춘천시 효자로 9 (퇴계동),37.865807,127.726336,033-253-9253,한식,숯불닭갈비,258.7,좌식,불가,불가,2025-05-01
2024-10-25,춘천이동갈비,"강원특별자치도 춘천시 춘주로201번길 4, 1층 (퇴계동)",37.861079,127.727762,033-243-0100,한식,이동갈비,91.76,입식,불가,불가,2025-05-01
2024-10-25,춘천제일닭갈비,"강원특별자치도 춘천시 새롬공원길 22-1, 1층 (석사동)",37.85432,127.747481,033-263-9399,한식,닭갈비,122.68,둘다,가능,가능,2025-05-01
2024-10-25,콩사랑마을,강원특별자치도 춘천시 우묵들길 35-14 (퇴계동),37.867856,127.724362,033-255-2180,한식,두부전골,121.5,좌식,불가,불가,2025-05-01
2024-10-25,큰샛터막국수,"강원특별자치도 춘천시 동내면 영서로 1745-14, 1층",37.8327147,127.601563,033-262-4733,한식,막국수,144.53,입식,가능,가능,2025-05-01
2024-10-25,큰집한우,"강원특별자치도 춘천시 서부대성로 135, 2층 (운교동)",37.877864,127.734976,033-241-3944,한식,"등심, 육회",262.67,둘다,가능,가능,2025-05-01
2024-10-25,토담화로구이,"강원특별자치도 춘천시 남춘로36번길 65 (퇴계동, 1층)",37.860398,127.737061,033-263-7799,한식,돼지갈비,186.3,좌식,불가,불가,2025-05-01
2024-10-25,통나무집닭갈비,강원특별자치도 춘천시 신북읍 신샘밭로 763,37.933123,127.793297,033-241-5999,한식,닭갈비,607.21,입식,가능,가능,2025-05-01
2024-10-25,하주골,강원특별자치도 춘천시 동면 만천로 163,37.883416,127.756636,033-256-7963,한식,한정식,300.75,둘다,가능,가능,2025-05-01
2024-10-25,학곡리막국수닭갈비,"강원특별자치도 춘천시 공지로 29, 1층 (석사동)",37.850313,127.752994,033-261-9478,한식,"막국수,닭갈비",402.2,입식,가능,가능,2025-05-01
2024-10-25,한양시래기명태조림춘천점,"강원특별자치도 춘천시 영서로 2195 (퇴계동, (굿모닝마트2층))",37.860297,127.728572,033-256-8886,한식,"육개장, 시래기명태조림",534.4,둘다,가능,가능,2025-05-01
2024-10-25,한우가,"강원특별자치도 춘천시 스무숲3길 18, 1.2동 1층 (석사동)",37.84767,127.751196,033-261-2621,한식,"갈비살,살치살",229.72,입식,불가,불가,2025-05-01
2024-10-25,함지,강원특별자치도 춘천시 중앙로 101 (중앙로3가),37.877118,127.723816,033-254-5221,양식,양식,115,입식,불가,불가,2025-05-01
2024-10-25,항아리닭갈비막국수,강원특별자치도 춘천시 신북읍 신샘밭로 487,37.930292,127.763603,033-242-1411,한식,닭갈비,241.6,입식,가능,가능,2025-05-01
2024-10-25,해미담,강원특별자치도 춘천시 효자로24번길 12 (퇴계동),37.865964,127.728165,033-241-7376,한식,생삼겹살,95.16,둘다,가능,가능,2025-05-01
2024-10-25,형제육회,"강원특별자치도 춘천시 스무숲길 34, 1층 (석사동)",37.848264,127.751308,033-256-4719,한식,"모듬육회, 육회비빔밥",114.26,입식,불가,불가,2025-05-01
2024-10-25,호반,"강원특별자치도 춘천시 스포츠타운길 376, 1층 (삼천동)",37.870894,127.699071,033-245-4300,뷔페식,뷔페,337.17,입식,가능,가능,2025-05-01
2024-10-25,황가네,"강원특별자치도 춘천시 충혼길5번길 9-1 (퇴계동, 1층)",37.863008,127.724221,033-254-6692,한식,"등심,소갈비살",128.88,좌식,불가,불가,2025-05-01
2024-10-25,황토집,"강원특별자치도 춘천시 벌말길 54-1, 1층 (석사동)",37.859409,127.742349,033-257-7792,한식,한정식,97.43,입식,불가,불가,2025-05-01
2024-10-25,"회,장,메",강원특별자치도 춘천시 화목원길 21 (사농동),37.923935,127.723767,033-255-2521,한식,민물회,98.24,입식,불가,불가,2025-05-01
2024-10-25,효자황태구이,"강원특별자치도 춘천시 남춘로51번길 15-1 (효자동, 1~2층)",37.86598,127.731143,033-253-9988,한식,황태구이,165.9,입식,불가,불가,2025-05-01
